city,min_date,max_date,total_days,total_months,active_days,coverage_pct,max_gap_days,role,n_real_stations,avg_epd,median_epd,low_signal_pct,signal_ok,recommendation
Mannheim,2023-03-31,2026-02-02,1039,34.1,1039,100.0,1,SOURCE,128,26.56,16.91,18.8,True,SOURCE
Heidelberg,2023-03-31,2026-02-02,1039,34.1,1039,100.0,1,SOURCE,70,35.62,23.92,15.7,True,SOURCE
Marburg,2023-03-31,2026-02-02,1039,34.1,1008,97.0,20,SOURCE,61,43.43,29.78,8.2,True,SOURCE
Gießen,2023-03-31,2026-02-02,1039,34.1,1008,97.0,20,SOURCE,67,21.35,12.73,22.4,True,SOURCE
Leverkusen,2023-03-31,2026-02-02,1039,34.1,1008,97.0,20,SOURCE,152,4.79,2.46,32.2,True,SOURCE
Kaiserslautern,2023-03-31,2026-02-02,1039,34.1,1039,100.0,1,SOURCE,37,11.27,6.76,29.7,True,SOURCE
Winsen (Luhe),2023-04-01,2026-02-02,1038,34.1,1007,97.0,20,SOURCE,22,8.59,7.01,9.1,True,SOURCE
Ludwigshafen,2023-03-31,2026-02-02,1039,34.1,1039,100.0,1,SOURCE,65,4.02,2.77,24.6,True,SOURCE
Kassel,2023-03-31,2026-02-02,1039,34.1,1008,97.0,20,SOURCE,77,5.47,2.55,24.7,True,SOURCE
Wiesbaden,2023-03-31,2026-02-02,1039,34.1,1008,97.0,20,SOURCE,36,5.58,4.84,11.1,True,SOURCE
Offenburg,2023-07-20,2026-02-02,928,30.5,917,98.8,6,SOURCE,28,6.95,4.09,10.7,True,SOURCE
Braunschweig,2025-02-03,2026-02-02,364,12.0,365,100.3,0,TARGET,160,8.75,3.67,26.2,True,TARGET
Freiburg,2025-04-16,2026-02-02,292,9.6,293,100.3,0,TARGET,132,31.05,21.74,9.1,True,TARGET
Dortmund,2025-04-15,2026-02-02,293,9.6,294,100.3,0,TARGET,100,14.36,9.96,7.0,True,TARGET
Duisburg,2025-04-15,2026-02-02,293,9.6,294,100.3,0,TARGET,58,18.38,8.78,6.9,True,TARGET
Bochum,2025-04-15,2026-02-02,293,9.6,294,100.3,0,TARGET,95,8.67,4.97,9.5,True,TARGET
Essen,2025-04-15,2026-02-02,293,9.6,294,100.3,0,TARGET,94,6.7,4.5,13.8,True,TARGET
