network_name,latitude,longitude,federal_state,population
Bochum,51.468,7.246,Nordrhein-Westfalen,358676
Braunschweig,52.264,10.526,Niedersachsen,252962
Dortmund,51.508,7.46,Nordrhein-Westfalen,603462
Duisburg,51.43,6.767,Nordrhein-Westfalen,502270
Essen,51.447,7.007,Nordrhein-Westfalen,574682
Freiburg,47.997,7.834,Baden-Württemberg,237460
Gießen,50.584,8.678,Hessen,89179
Heidelberg,49.409,8.677,Baden-Württemberg,155756
Kaiserslautern,49.442,7.76,Rheinland-Pfalz,101228
Kassel,51.314,9.486,Hessen,197230
Leverkusen,51.046,7.009,Nordrhein-Westfalen,168581
Ludwigshafen,49.478,8.428,Rheinland-Pfalz,177222
Mannheim,49.487,8.48,Baden-Württemberg,318035
Marburg,50.808,8.772,Hessen,73544
Offenburg,48.47,7.945,Baden-Württemberg,62993
Wiesbaden,50.078,8.239,Hessen,288850
Winsen (Luhe),53.361,10.206,Niedersachsen,36961
